Name,Shape,FillColor,StrokeColor,IconUrl
Banana,0,FFFF0077,FFFF00FF,http://www.gotoheliconia.com/icons/musa.png
Bromeliad,0,22779999,227799FF,http://www.gotoheliconia.com/icons/default.png
Calathea,0,AAFFCC77,AAFFCCFF,http://www.gotoheliconia.com/icons/calathea.png
Curcuma,0,AA00FF77,AA00FFFF,http://www.gotoheliconia.com/icons/default.png
Foliage,0,22882299,228822FF,http://www.gotoheliconia.com/icons/foliage.png
Ginger,0,FF00FF55,FF00FFFF,http://www.gotoheliconia.com/icons/ginger.png
Heliconia,0,FF882277,FF8822FF,http://www.gotoheliconia.com/icons/heliconia.png
Orchid,0,FFFFFF99,FFFFFFFF,http://www.gotoheliconia.com/icons/orchid.png
Palm,0,77AA0077,77AA00FF,http://www.gotoheliconia.com/icons/palm.png
Shrub,0,44880099,448800FF,http://www.gotoheliconia.com/icons/hibiscus.png
Vine,0,22770099,227700FF,http://www.gotoheliconia.com/icons/vine.png
